f-1     (female lisa)
f-2     (female marge)
f-3     (female jacquelineBouvier)
f-4     (female mona)
f-5     (male bart)
f-6     (male homer)
f-7     (male tod)
f-8     (male rod)
f-9     (male nedFlanders)
f-10    (male abe)
f-11    (parentOf bart homer)
f-12    (parentOf bart marge)
f-13    (parentOf lisa homer)
f-14    (parentOf lisa marge)
f-15    (parentOf rod nedFlanders)
f-16    (parentOf tod nedFlanders)
f-17    (parentOf marge jacquelineBouvier)
f-18    (parentOf homer abe)
f-19    (parentOf homer mona)
f-20    (childOf homer mona)
f-21    (motherOf mona homer)
f-22    (grandparent mona bart)
f-23    (grandmother mona bart)
f-24    (grandparent mona lisa)
f-25    (grandmother mona lisa)
f-26    (childOf homer abe)
f-27    (fatherOf abe homer)
f-28    (grandparent abe bart)
f-29    (grandfather abe bart)
f-30    (grandparent abe lisa)
f-31    (grandfather abe lisa)
f-32    (childOf marge jacquelineBouvier)
f-33    (motherOf jacquelineBouvier marge)
f-34    (grandparent jacquelineBouvier bart)
f-35    (grandmother jacquelineBouvier bart)
f-36    (grandparent jacquelineBouvier lisa)
f-37    (grandmother jacquelineBouvier lisa)
f-38    (childOf tod nedFlanders)
f-39    (fatherOf nedFlanders tod)
f-40    (sibling tod rod)
f-41    (brother tod rod)
f-42    (sibling rod tod)
f-43    (brother rod tod)
f-44    (childOf rod nedFlanders)
f-45    (fatherOf nedFlanders rod)
f-46    (childOf lisa marge)
f-47    (motherOf marge lisa)
f-48    (sibling lisa bart)
f-49    (sister lisa bart)
f-50    (sibling bart lisa)
f-51    (brother bart lisa)
f-52    (childOf lisa homer)
f-53    (fatherOf homer lisa)
f-54    (childOf bart marge)
f-55    (motherOf marge bart)
f-56    (childOf bart homer)
f-57    (fatherOf homer bart)
For a total of 57 facts.
